cost,evac,widths
0.0,527.19,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,508.21,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,503.0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,501.31,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,495.86,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1023.02,494.32,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,493.81,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,493.21,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
1966.09,492.25,"[0,2,4,0,0,0,0,0,0,2,0,4,2,2,0]"
1967.96,490.44,"[0,4,4,0,0,0,0,0,0,0,0,0,4,4,0]"
