cost,evac,widths
0.0,1589.53,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1497.91,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1469.55,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1440.67,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1414.3,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1347.65,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1340.93,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1337.75,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1337.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1319.41,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,1262.66,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
