cost,evac,widths
0.0,1471.13,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1396.27,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1371.53,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1338.13,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1314.78,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1257.57,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1251.82,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1250.84,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1248.13,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1232.15,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,1224.03,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
3212.83,1181.63,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
