cost,evac,widths
0.0,1422.29,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1343.17,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1321.74,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1295.54,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1265.97,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1211.6,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1206.27,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1202.75,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1532.9,1187.39,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,1177.42,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
3212.83,1137.28,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
